"GEO_ID","NAICS2017","YEAR","NAICS2017_F","GEO_ID_F","NAICS2017_LABEL","NAME","EMP","EMP_IMP","ESTAB","FIRM","PAYANN","PAYANN_IMP","PAYQTR1","RCPTOT","RCPTOT_IMP"
"id","2017 NAICS code","Year","2017 NAICS Footnote","Geo Footnote","Meaning of NAICS code","Geographic Area Name","Number of paid employees for pay period including March 12","Range indicating percent of total employees imputed","Number of establishments","Number of firms","Annual payroll ($1,000)","Range indicating percent of total annual payroll imputed","First-quarter payroll ($1,000)","Value of sales, shipments, receipts, revenue, or business done ($1,000)","Range indicating percent of total sales, value of shipments, or revenue imputed"
"0100000US","45231","2017","null","null","General merchandise stores, including warehouse clubs and supercenters","United States","2312959","N","49441","7853","57726942","N","14597408","623837028","N"
"0100000US","452311","2017","null","null","Warehouse clubs and supercenters","United States","1876697","N","8201","9","50739494","N","12877349","550120139","N"
"0100000US","452319","2017","null","null","All other general merchandise stores","United States","436262","N","41240","7845","6987448","N","1720059","73716889","N"
"0100000US","453","2017","null","null","Miscellaneous store retailers","United States","781712","N","108930","80782","16880330","N","3999452","113509231","N"
"0100000US","4531","2017","null","null","Florists","United States","58107","N","12655","12155","1070380","N","260045","4779935","N"
"0100000US","45311","2017","null","null","Florists","United States","58107","N","12655","12155","1070380","N","260045","4779935","N"
"0100000US","453110","2017","null","null","Florists","United States","58107","N","12655","12155","1070380","N","260045","4779935","N"
"0100000US","4532","2017","null","null","Office supplies, stationery, and gift stores","United States","222778","N","27356","18079","4040795","N","951720","29491837","N"
"0100000US","45321","2017","null","null","Office supplies and stationery stores","United States","71027","N","5654","2654","1391320","N","337547","13132229","N"
"0100000US","453210","2017","null","null","Office supplies and stationery stores","United States","71027","N","5654","2654","1391320","N","337547","13132229","N"
"0100000US","45322","2017","null","null","Gift, novelty, and souvenir stores","United States","151751","N","21702","15436","2649475","N","614173","16359608","N"
"0100000US","453220","2017","null","null","Gift, novelty, and souvenir stores","United States","151751","N","21702","15436","2649475","N","614173","16359608","N"
"0100000US","4533","2017","null","null","Used merchandise stores","United States","202760","N","20384","14053","3834550","N","928673","16833069","N"
"0100000US","45331","2017","null","null","Used merchandise stores","United States","202760","N","20384","14053","3834550","N","928673","16833069","N"
"0100000US","453310","2017","null","null","Used merchandise stores","United States","202760","N","20384","14053","3834550","N","928673","16833069","N"
"0100000US","4539","2017","null","null","Other miscellaneous store retailers","United States","298067","N","48535","36604","7934605","N","1859014","62404390","N"
"0100000US","45391","2017","null","null","Pet and pet supplies stores","United States","119711","N","9966","5075","2561347","N","647078","18268815","N"
